dataset,commodity,measure_type,year,value,unit
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2010,4.25,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2011,4.75,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2012,4.4,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2013,5.03,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2014,4.99,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2015,4.91,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2016,5.27,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2017,5.4,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2018,5.3,RM/kg
MALAY_FARM_PRICE,Broiler (Live) - (RM/kg),price,2019,0,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2010,7.1,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2011,6.8,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2012,7.25,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2013,7.58,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2014,7.67,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2015,7.92,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2016,8.33,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2017,8.65,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2018,8.95,RM/kg
MALAY_FARM_PRICE,Local Fowl - (RM/kg),price,2019,0,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2010,9.65,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2011,10.5,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2012,8.5,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2013,8.5,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2014,8.52,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2015,18,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2016,,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2017,,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2018,,RM/kg
MALAY_FARM_PRICE,Processed Quail - (RM/kg),price,2019,,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2010,3.8,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2011,4,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2012,3.85,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2013,4.03,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2014,3.76,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2015,5.15,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2016,5.17,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2017,5.15,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2018,5.55,RM/kg
MALAY_FARM_PRICE,Culled Chicken (RM/kg),price,2019,0,RM/kg
