dataset,region,commodity,measure_type,year,value,unit,flag,commodity_raw
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2014,6.8,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2015,7,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2016,6.6,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2017,6.5,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2018,6.4,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2019,6.1,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Malaysia,Beef (Kg),per_capita,2020,6.1,kg_per_capita,estimate,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2014,7.9,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2015,8.2,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2016,7.7,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2017,7.6,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2018,7.5,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2019,7,kg_per_capita,,Beef (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Beef (Kg),per_capita,2020,7.3,kg_per_capita,estimate,Beef (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2014,1.2,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2015,1.2,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2016,1.2,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2017,1.3,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2018,1.2,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2019,1.1,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Mutton (Kg),per_capita,2020,1.2,kg_per_capita,estimate,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2014,1.3,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2015,1.4,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2016,1.4,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2017,1.5,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2018,1.5,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2019,1.3,kg_per_capita,,Mutton (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Mutton (Kg),per_capita,2020,1.3,kg_per_capita,estimate,Mutton (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2014,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2015,7.6,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2016,6.8,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2017,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2018,7.6,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2019,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg),per_capita,2020,7.4,kg_per_capita,estimate,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2014,7.3,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2015,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2016,7.2,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2017,7.2,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2018,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2019,7.4,kg_per_capita,,Pork (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg),per_capita,2020,7.4,kg_per_capita,estimate,Pork (Kg)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2014,18.5,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2015,19.1,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2016,18,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2017,18.1,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2018,18.6,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2019,18.4,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Pork (Kg) (Non-Muslim),per_capita,2020,18.4,kg_per_capita,estimate,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2014,18.2,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2015,18.4,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2016,17.8,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2017,18.1,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2018,18.6,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2019,18.5,kg_per_capita,,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Peninsular Malaysia,Pork (Kg) (Non-Muslim),per_capita,2020,18.4,kg_per_capita,estimate,Pork (Kg) (Non-Muslim)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2014,49.5,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2015,50.3,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2016,53.7,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2017,50.1,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2018,49.1,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2019,48.9,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Malaysia,Poultry Meat (Kg),per_capita,2020,46.8,kg_per_capita,estimate,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2014,56.6,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2015,57.6,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2016,61.9,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2017,57.5,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2018,56.2,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2019,55.8,kg_per_capita,,Poultry Meat (Kg)
MALAY_PKAPITA,Peninsular Malaysia,Poultry Meat (Kg),per_capita,2020,53.6,kg_per_capita,estimate,Poultry Meat (Kg)
